Name:  | Date: 3/5/23 | Time: 18:03:47 | Oper: 0rgan1cElectronics!          
X/Z	Nm	Nw	Nc	Model	X-axis	Y-axis	Z-axis	Path	Temp (C)
2 	 29 	 911 	 2 	 4 	 0 	 0 	 0 	 1 	 25
1 	 1
1 	 0
WL-Time	     1.40	     1.90	     2.40	     2.90	     3.40	     3.90	     4.40	     4.90	     5.40	     5.90	     6.40	     6.90	     7.40	     7.90	     8.40	     8.90	     9.40	     9.90	    10.40	    10.90	    11.40	    11.90	    12.40	    12.90	    13.40	    13.90	    14.40	    14.90	    15.40 
 190	-0.00350	0.00874	0.00593	-0.02393	0.02088	0.00806	0.00995	0.01419	0.02349	0.01919	-0.00616	0.00877	0.00023	0.00694	-0.00661	0.02608	0.00112	0.05704	0.01639	0.03396	0.06949	0.05220	0.06214	0.04433	0.06394	0.05279	0.06893	0.05112	0.05583 
 191	0.00201	-0.00399	-0.01286	0.00954	0.02794	0.00557	0.02235	0.01961	-0.00178	0.00067	0.00687	0.00417	0.01358	0.00169	0.01554	0.01438	0.01329	0.00804	0.02073	0.04836	0.02188	0.03960	0.06286	0.05702	0.04792	0.06061	0.04622	0.05844	0.04639 
 192	0.01461	-0.00591	-0.00108	0.01624	0.01064	0.00610	-0.01309	-0.00223	0.00942	0.02100	-0.00641	0.01286	0.03795	-0.01364	0.03351	0.01083	0.01820	0.01617	0.02838	0.03365	0.08120	0.06005	0.07136	0.02646	0.05571	0.04421	0.04124	0.01419	0.04334 
 193	0.01137	0.01369	-0.00170	-0.00379	0.00711	-0.01598	-0.01945	0.01377	0.00134	0.03019	0.00360	0.01889	-0.00257	0.00478	-0.00603	-0.00204	0.00580	0.00464	0.01642	0.05740	0.04109	0.05705	0.07493	0.03971	0.07150	0.02105	0.07339	0.03124	0.03414 
 194	-0.00603	0.00318	-0.01037	0.00246	-0.00085	-0.03434	0.00446	0.00027	0.00625	-0.01389	0.01167	-0.01806	0.01814	0.01810	-0.00297	-0.00216	0.01837	0.00898	0.02596	0.05772	0.00167	0.05445	0.05749	0.08594	0.06428	0.08647	0.04148	0.07078	0.04198 
 195	-0.00328	-0.01169	-0.03510	-0.00854	-0.00396	-0.02120	0.00203	-0.01817	0.01672	0.01471	-0.01969	0.00605	-0.01547	-0.00966	0.00413	-0.03171	-0.00849	0.03135	0.03688	0.05002	0.07229	0.02044	0.03492	0.03173	0.05548	0.05856	0.01426	0.03847	0.06479 
 196	0.01353	-0.01414	-0.00381	-0.01140	0.00116	0.01952	-0.00100	0.00101	-0.03591	-0.02005	0.01186	0.01724	-0.00566	0.00543	0.00299	-0.03559	-0.01580	0.01166	0.00201	0.02526	0.02453	0.01382	0.04830	0.07813	0.03885	0.04032	0.02646	0.06753	0.04988 
 197	0.04106	0.01924	-0.00767	-0.00220	-0.00120	-0.01897	0.00732	-0.00098	-0.00606	-0.02335	0.00741	-0.03402	0.03140	0.01736	0.00753	-0.00114	0.00663	0.00848	0.04611	0.01370	0.01203	0.06281	0.04077	0.06525	0.02537	0.05737	0.04158	0.05949	0.03584 
 198	0.00426	0.03570	-0.01026	0.00382	0.00536	-0.01116	-0.01579	-0.00060	0.06368	0.02839	-0.01515	-0.01730	-0.01499	0.00291	0.00710	0.00330	0.01163	0.04949	0.05263	0.03377	0.06306	0.06158	0.03950	0.03712	0.05781	0.05138	0.07409	0.05681	0.04270 
